"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:1905809","GO:1905809","negative regulation of synapse organization","3/105","18/11564",0.000537531327152088,0.0163233674471714,0.0135448253789307,"GRIN2B/ROBO2/NLGN1",3
"GO:0045778","GO:0045778","positive regulation of ossification","5/105","75/11564",0.000584736535682546,0.017480544856194,0.0145050295762803,"SFRP2/TFAP2A/WNT7B/ZBTB16/ADGRV1",5
"GO:0051592","GO:0051592","response to calcium ion","6/105","123/11564",0.000874441107943911,0.0236515499672448,0.0196256143399442,"KCNIP2/RYR2/CRHBP/NLGN1/CAV1/ADGRV1",6
"GO:0050808","GO:0050808","synapse organization","10/105","341/11564",0.00104896388950256,0.0273756977624738,0.0227158426114671,"ERBB4/LRRC4C/ITPKA/ADGRL3/GRIN2B/ROBO2/SRCIN1/WNT7B/NLGN1/ADGRB2",10
"GO:0007409","GO:0007409","axonogenesis","11/105","411/11564",0.00123859633581457,0.0303303422511252,0.0251675514139016,"LHX2/LHX9/LINGO1/FEZF2/LRRC4C/FEZF1/PAX6/NR2E1/ROBO2/XK/BARHL2",11
"GO:0050807","GO:0050807","regulation of synapse organization","7/105","186/11564",0.00150324753396019,0.0341537839715756,0.0283401719297127,"ITPKA/ADGRL3/GRIN2B/ROBO2/SRCIN1/NLGN1/ADGRB2",7
"GO:0003016","GO:0003016","respiratory system process","3/105","26/11564",0.00162474089494198,0.0358389447893998,0.0297384868966897,"GLRA1/ECEL1/NLGN1",3
"GO:0050803","GO:0050803","regulation of synapse structure or activity","7/105","192/11564",0.00180270948252477,0.0390071994694884,0.0323674454456327,"ITPKA/ADGRL3/GRIN2B/ROBO2/SRCIN1/NLGN1/ADGRB2",7
"GO:0030857","GO:0030857","negative regulation of epithelial cell differentiation","3/105","28/11564",0.00202041347388434,0.0429007421744413,0.0355982344488623,"FRZB/CAV1/GRHL2",3
"GO:1902692","GO:1902692","regulation of neuroblast proliferation","3/105","29/11564",0.002238769674331,0.0470970805562966,0.0390802776484096,"PAX6/SOX10/SIX3",3
"GO:2000027","GO:2000027","regulation of animal organ morphogenesis","7/105","202/11564",0.00240280070355313,0.0494783590803328,0.0410562180841717,"CAV3/SFRP2/WNT6/TFAP2A/ROBO2/CELSR2/WNT1",7
"GO:0031128","GO:0031128","developmental induction","3/105","30/11564",0.00247122653429501,0.0496869618222856,0.0412293127426397,"ROBO2/SIX3/WNT1",3
